id;1 wspol.;2 wspol.;3 wspol.;4 wspol.;5 wspol.;6 wspol.;7 wspol.;8 wspol.;9 wspol.;10 wspol.;11 wspol.;l. obliczen;typ punktu;CId;
33;0.0659254;0.00800523;0.00368155;0.0188358;0.000976038;0.188358;0.976038;0.00853606;0.0278257;0.00625007;0.078768;2284;1;15;
34;0.327515;0.0245636;0.00967658;0.0632699;0.0027541;0.14887;0.856005;0.0371097;0.117235;0.027541;0.342402;2284;0;56;
35;0.315006;0.0248187;0.00190913;0.105002;0.00329325;0.381826;0.715923;0.0475182;0.162276;0.0300688;0.448645;2284;1;14;
36;0.337916;0.0255997;0.00204798;0.107519;0.00348156;0.307196;0.716791;0.050969;0.173566;0.0327676;0.481274;2284;1;16;
37;0.0696541;0.00307774;0.00291575;0.024298;0.000656045;0.24298;0.963819;0.00807502;0.0259178;0.00453562;0.0761336;2284;0;26;
38;0.093554;0.00627796;0.00184646;0.0344673;0.00135407;0.406221;0.898611;0.0122543;0.0390219;0.00775513;0.125559;2284;1;17;
39;0.55737;0.0229505;0.0311471;0.18579;0.00382509;0.218576;0.546441;0.0544856;0.166118;0.0344258;0.524583;2284;0;54;
40;0.134072;0.0101414;0.00309398;0.0395342;0.00130635;0.292209;0.928194;0.0171458;0.0589575;0.0101414;0.171888;2284;1;18;
41;0.150345;0.00803215;0.00638453;0.0494286;0.00152405;0.185357;0.947382;0.020517;0.0702298;0.0111214;0.193595;2284;-1;-1;
42;0.15447;0.00702134;0.00702134;0.0386174;0.00138672;0.333514;0.912775;0.0175182;0.0603835;0.0112341;0.161491;2284;1;13;
43;0.067261;0.00602728;0.00428024;0.0157233;0.00100455;0.174704;0.978341;0.00870724;0.02804;0.00620198;0.0812373;2284;1;19;
44;0.122837;0.0128979;0.000877409;0.0350964;0.0014214;0.228126;0.947602;0.0174885;0.0594883;0.0100025;0.171972;2284;0;48;
45;0.389001;0.0391703;0.0027014;0.25123;0.0046464;0.216112;0.594308;0.0538227;0.184235;0.0210709;0.588905;2284;0;54;
46;0.389001;0.0391703;0.0027014;0.25123;0.0046464;0.216112;0.594308;0.0538227;0.184235;0.0210709;0.588905;2284;0;54;
47;0.316344;0.0337913;0.00335516;0.0766894;0.00364275;0.287585;0.718964;0.0477488;0.164882;0.0277999;0.512861;2284;1;16;
48;0.322221;0.0283957;0.00201388;0.0765274;0.00298054;0.322221;0.765274;0.0401245;0.134527;0.0382637;0.422914;2284;1;14;
49;0.0797345;0.00714504;0.00227813;0.0196747;0.000869831;0.186392;0.973382;0.0103147;0.0342755;0.00497046;0.0983737;2284;1;19;
50;0.179391;0.014589;0.00561947;0.045388;0.00181552;0.237747;0.929374;0.0215615;0.0715401;0.0114551;0.198843;2284;1;20;
51;0.194261;0.00905079;0.0141281;0.0485652;0.00205298;0.198676;0.927154;0.0220442;0.0781459;0.0145696;0.231789;2284;1;21;
52;0.190304;0.0219689;0;0.067166;0.00291053;0.391801;0.839575;0.0278907;0.0985101;0.0153922;0.299448;2284;1;22;
53;0.0818037;0.00915713;0.00146514;0.024419;0.00105002;0.146514;0.97676;0.0121582;0.0412681;0.00634894;0.123316;2284;1;23;
54;0.0676417;0.0050935;0.00162992;0.0122244;0.000651968;0.220039;0.969802;0.00812678;0.0257527;0.00912755;0.0741613;2284;-1;-1;
55;0.321101;0.0233057;0.0103581;0.0828648;0.00357354;0.155371;0.776857;0.051573;0.176606;0.0290027;0.476473;2284;-1;-1;
56;0.0961391;0.00649589;0.00610613;0.0259835;0.00111729;0.272827;0.948399;0.0129528;0.0436524;0.00740531;0.118225;2284;0;4;
57;0.0971212;0.00462482;0.00739971;0.0277489;0.00106371;0.277489;0.94038;0.0153529;0.0530313;0.0120245;0.158785;2284;-1;-1;
58;0.14955;0.0119206;0.00325108;0.0476825;0.00164722;0.411804;0.866955;0.0215894;0.0739079;0.0127876;0.218906;2284;1;24;
59;0.0622514;0.00354688;0.00202679;0.0137532;0.000796239;0.144771;0.984441;0.00721827;0.0212089;0.0141151;0.0716615;2284;-1;-1;
60;0.221335;0.014085;0.00747365;0.0546151;0.00178218;0.258703;0.891089;0.0286471;0.0974449;0.0183967;0.27595;2284;1;25;
61;0.0713806;0.00299338;0.00337714;0.0161182;0.00082126;0.260961;0.959416;0.00765844;0.0241005;0.0093639;0.0729156;2284;1;26;
62;0.249519;0.0221003;0.00285165;0.0641621;0.00270907;0.285165;0.855495;0.0355672;0.124047;0.0188922;0.320811;2284;1;27;
63;0.0538371;0.00354371;0.00177185;0.0129482;0.000538371;0.286222;0.954075;0.00679029;0.0220119;0.00368;0.0647408;2284;0;26;
64;0.0622514;0.00354688;0.00202679;0.0137532;0.000796239;0.144771;0.984441;0.00721827;0.0212089;0.0141151;0.0716615;2284;-1;-1;
65;0.221335;0.014085;0.00747365;0.0546151;0.00178218;0.258703;0.891089;0.0286471;0.0974449;0.0183967;0.27595;2284;1;25;
66;0.0525312;0.0107164;0.000420249;0.0147087;0.000472781;0.430756;0.89303;0.0104411;0.0393984;0.00504299;0.110315;2284;-1;-1;
67;0.244019;0.027811;0;0.107656;0.00366029;0.287082;0.825359;0.0357596;0.123804;0.0200957;0.383972;2284;0;45;
68;0.439763;0.0520772;0.00347181;0.144659;0.00457122;0.289318;0.578635;0.0576726;0.196157;0.0324036;0.567063;2284;-1;-1;
69;0.205291;0.0138128;0.00456203;0.0481547;0.00202757;0.32948;0.887061;0.0252736;0.0836371;0.0149533;0.228101;2284;1;28;
70;0.156528;0.0115038;0.00565762;0.0396034;0.00158413;0.207446;0.942937;0.0188059;0.0641197;0.0115038;0.192359;2284;1;29;
71;0.205291;0.0138128;0.00456203;0.0481547;0.00202757;0.32948;0.887061;0.0252736;0.0836371;0.0149533;0.228101;2284;1;28;
72;0.120266;0.0085374;0.00326648;0.0311801;0.00114327;0.178172;0.965097;0.0147986;0.0488488;0.0075723;0.136598;2284;1;30;
73;0.18724;0.0127427;0.00624134;0.0572123;0.00182039;0.130028;0.936201;0.0259016;0.0865986;0.0124827;0.244453;2284;-1;-1;
74;0.120266;0.0085374;0.00326648;0.0311801;0.00114327;0.178172;0.965097;0.0147986;0.0488488;0.0075723;0.136598;2284;1;30;
75;0.107668;0.00565947;0.00938644;0.0234661;0.00644628;0.248465;0.952448;0.0137663;0.0425151;0.0180827;0.128373;2284;-1;-1;
76;0.0928074;0.00943043;0.00464037;0.0254472;0.00131727;0.224534;0.958012;0.0149225;0.0517925;0.0118255;0.139211;2284;1;2;
77;0.155388;0.0111561;0.0037851;0.0358588;0.00207184;0.239059;0.936314;0.0198498;0.0635498;0.0185271;0.189255;2284;1;29;
78;0.076783;0.00566732;0.000822675;0.0201098;0.00076783;0.100549;0.98721;0.00910793;0.0287936;0.00603295;0.0895802;2284;1;31;
79;0.190391;0.0058437;0.00829428;0.0433565;0.00150805;0.414714;0.867129;0.018828;0.0625841;0.0126299;0.182851;2284;1;32;
80;0.155388;0.0111561;0.0037851;0.0358588;0.00207184;0.239059;0.936314;0.0198498;0.0635498;0.0185271;0.189255;2284;1;29;
81;0.144572;0.00615201;0.0047678;0.033836;0.0013842;0.19994;0.953561;0.0153277;0.0472166;0.00968941;0.16149;2284;0;83;
82;0.190078;0.0123665;0.00641228;0.0435119;0.00176338;0.251911;0.916041;0.0228506;0.0776344;0.0139696;0.22901;2284;-1;-1;
83;0.0807551;0.0118367;0.000995611;0.018806;0.0019691;0.110623;0.984549;0.0110203;0.0365057;0.00630554;0.0995611;2284;1;31;
84;0.147799;0.00923742;0.000671812;0.0369497;0.00199864;0.235134;0.940537;0.0167315;0.0539129;0.0100772;0.183069;2284;1;29;
85;0.398179;0.0379089;0;0.136363;0.00409088;0.163635;0.709087;0.054436;0.190362;0.0283635;0.501815;2284;0;11;
86;0.0743307;0.00476479;0.00162003;0.0152473;0.000781426;0.200121;0.972017;0.00949146;0.0323053;0.0045742;0.090531;2284;0;46;
87;0.433741;0.0703508;0;0.089922;0.00428452;0.158686;0.634744;0.0527049;0.18672;0.0259187;0.576559;2284;-1;-1;
88;0.429184;0.070471;0;0.0953743;0.00434483;0.158957;0.635829;0.052795;0.187569;0.0254331;0.577544;2284;-1;-1;
89;0.374469;0.0276171;0.00748938;0.0842555;0.00304256;0.140426;0.748938;0.0466307;0.160085;0.0430639;0.49149;2284;0;11;
90;0.0579997;0.00540122;0.00405998;0.0144999;0.000855496;0.217499;0.971495;0.00722676;0.0234899;0.00478497;0.0681496;2284;1;33;
91;0.0551504;0.00492414;0.000886346;0.0226511;0.000482566;0.167421;0.97498;0.00978624;0.0357493;0.00620442;0.128028;2284;1;34;
92;0.229201;0.0301733;0.00145064;0.0638281;0.00243707;0.377166;0.84137;0.0288938;0.0934211;0.015957;0.287226;2284;1;12;
93;0.126581;0.0112265;0.00165761;0.0286314;0.00135622;0.241106;0.949357;0.0150164;0.0480706;0.0123567;0.144664;2284;1;2;
94;0.148578;0.00856389;0.00742892;0.0412718;0.00167151;0.268266;0.928615;0.0205781;0.0718129;0.013207;0.18985;2284;0;18;
95;0.126581;0.0112265;0.00165761;0.0286314;0.00135622;0.241106;0.949357;0.0150164;0.0480706;0.0123567;0.144664;2284;1;2;
96;0.0739877;0.00483766;0;0.0256111;0.000711421;0.384167;0.89639;0.0141089;0.0523606;0.0112404;0.199198;2284;1;35;
97;0.268004;0.0165907;0.00340322;0.0723185;0.00280766;0.127621;0.850805;0.0423446;0.142084;0.0246734;0.399878;2284;1;36;
98;0.0739877;0.00483766;0;0.0256111;0.000711421;0.384167;0.89639;0.0141089;0.0523606;0.0112404;0.199198;2284;1;35;
99;0.0557966;0.00461527;0.00378865;0.0123992;0.00080595;0.220431;0.971273;0.00686642;0.0218364;0.00427085;0.0647516;2284;1;33;
100;0.0597331;0.00700319;0.000205976;0.0185379;0.000895996;0.216275;0.968088;0.0102411;0.0364578;0.00535538;0.102988;2284;-1;-1;
101;0.198016;0.014062;0.0028698;0.0660053;0.00212365;0.344376;0.860939;0.0285803;0.0981471;0.0166448;0.292719;2284;1;37;
102;0.406506;0.0183763;0.0261723;0.11694;0.0042878;0.278429;0.612543;0.0554518;0.185433;0.0295134;0.573563;2284;1;38;
103;0.118933;0.0067223;0.0129275;0.0439535;0.00788578;0.41368;0.891998;0.0129223;0.0354214;0.025855;0.121519;2284;-1;-1;
104;0.0728452;0.00582761;0.000291381;0.0174828;0.000922705;0.242817;0.961556;0.00966412;0.0325375;0.00524485;0.0980981;2284;1;39;
105;0.0728452;0.00582761;0.000291381;0.0174828;0.000922705;0.242817;0.961556;0.00966412;0.0325375;0.00524485;0.0980981;2284;1;39;
106;0.0538676;0.0032624;0.00318653;0.0417284;0.000538676;0.212436;0.971134;0.0075665;0.0259475;0.00538676;0.0796633;2284;1;40;
107;0.0533873;0.00323331;0.00315812;0.0413563;0.000526353;0.218061;0.969994;0.00749903;0.0257161;0.00541392;0.078953;2284;1;40;
108;0.0538676;0.0032624;0.00318653;0.0417284;0.000538676;0.212436;0.971134;0.0075665;0.0259475;0.00538676;0.0796633;2284;1;40;
109;0.253642;0.0242925;0;0.0785934;0.00260787;0.428691;0.785934;0.0356135;0.12432;0.0178621;0.332236;2284;0;93;
110;0.0766471;0.00676298;0.00202889;0.0214161;0.000890458;0.202889;0.96936;0.0112356;0.0404651;0.00642483;0.104826;2284;-1;-1;
111;0.306368;0.038296;0.00120935;0.0806231;0.00362804;0.282181;0.806231;0.0401463;0.128997;0.0225745;0.386991;2284;0;36;
112;0.300942;0.0269264;0.000791953;0.0514769;0.00285103;0.356379;0.791953;0.039459;0.125524;0.0427654;0.364298;2284;1;14;
113;0.206525;0.0140331;0.0010591;0.0450118;0.00201229;0.450118;0.820803;0.0263822;0.0881701;0.0148274;0.264775;2284;1;41;
114;0.0582362;0.00472186;0.00204614;0.0574493;0.000550883;0.283311;0.952241;0.0078556;0.0265211;0.00385618;0.0739758;2284;1;42;
115;0.0575813;0.00465383;0.00205084;0.0567925;0.000552149;0.276074;0.954429;0.00787286;0.026582;0.00386504;0.0741457;2284;0;42;
116;0.0796991;0.00643723;0.00490456;0.0173703;0.00102178;0.14305;0.980912;0.010178;0.0325949;0.00633506;0.0970694;2284;0;9;
117;0.065761;0.00618927;0.000967074;0.0203086;0.000822013;0.174073;0.976745;0.00962819;0.0323003;0.00502878;0.0986415;2284;1;19;
118;0.15554;0.0117188;0.000639205;0.0340909;0.00153409;0.362216;0.894887;0.0212131;0.071804;0.0102273;0.191761;2284;1;43;
119;0.144012;0.0133423;0.00148248;0.0444744;0.00188487;0.232961;0.931845;0.0210788;0.0734887;0.0116481;0.220254;2284;1;29;
120;0.508209;0.0569323;0.00192991;0.115794;0.00373115;0.257321;0.514642;0.0641501;0.21615;0.021229;0.585405;2284;-1;-1;
121;0.349135;0.0183296;0.00741912;0.0872837;0.00318586;0.261851;0.785554;0.0435197;0.143582;0.0266215;0.401505;2284;-1;-1;
122;0.146714;0.0122922;0.00099131;0.0376698;0.00134818;0.475829;0.8327;0.0197489;0.0678056;0.0113009;0.228001;2284;-1;-1;
123;0.127795;0.00926054;0.000740843;0.0277816;0.00157429;0.351901;0.907533;0.0184433;0.0620456;0.0144464;0.17595;2284;0;17;
124;0.192771;0.0100347;0.00554548;0.0528141;0.00211256;0.184849;0.924247;0.0263041;0.0879355;0.0124113;0.250867;2284;1;44;
125;0.182201;0.0126326;0.0102032;0.0558748;0.00211353;0.194347;0.92315;0.0242254;0.0869704;0.014819;0.255081;2284;0;44;
126;0.28331;0.0325807;0;0.101182;0.00275216;0.28331;0.809458;0.0403474;0.140846;0.0226648;0.38854;2284;1;45;
127;0.19439;0.0134747;0.00309256;0.0530154;0.00148001;0.220897;0.927769;0.0220213;0.0704662;0.0130329;0.209852;2284;1;20;
128;0.19439;0.0134747;0.00309256;0.0530154;0.00148001;0.220897;0.927769;0.0220213;0.0704662;0.0130329;0.209852;2284;1;20;
129;0.0786314;0.00538934;0.00432914;0.01767;0.00238545;0.203205;0.971848;0.00881025;0.0275652;0.00901169;0.0821654;2284;1;46;
130;0.15427;0.0156413;0.000428528;0.053566;0.00162841;0.342823;0.899909;0.0213664;0.0737068;0.0111417;0.199266;2284;0;88;
131;0.101411;0.00909713;0.00298267;0.026844;0.00114833;0.164047;0.969367;0.0148701;0.0527932;0.00864973;0.138694;2284;1;23;
132;0.105188;0.00973378;0.00329692;0.0298293;0.00124027;0.125597;0.973378;0.0156525;0.0552627;0.00910579;0.146007;2284;1;47;
133;0.0989461;0.00344644;0.006337;0.0222351;0.00123405;0.289056;0.944991;0.0110853;0.0362432;0.0058923;0.10784;2284;1;4;
134;0.106354;0.00560514;0.00689863;0.0287443;0.00117852;0.20121;0.962934;0.0143319;0.048003;0.00790468;0.132224;2284;0;2;
135;0.0547207;0.00346333;0.0022858;0.0138533;0.00058184;0.1039;0.990514;0.0069045;0.0221653;0.00380967;0.0658034;2284;-1;-1;
136;0.0633659;0.00386378;0.00270464;0.0224099;0.000595021;0.162279;0.981399;0.007709;0.02496;0.00479108;0.072639;2284;1;19;
137;0.116907;0.00675869;0.00456669;0.0347068;0.00135174;0.383602;0.89507;0.0182192;0.0652123;0.0113254;0.179014;2284;0;17;
138;0.240082;0.0173743;0.00663384;0.0694973;0.00224287;0.221128;0.884512;0.031476;0.103614;0.0173743;0.30642;2284;1;25;
139;0.240082;0.0173743;0.00663384;0.0694973;0.00224287;0.221128;0.884512;0.031476;0.103614;0.0173743;0.30642;2284;1;25;
140;0.124703;0.00990789;0.00512477;0.0409982;0.00126411;0.256239;0.939542;0.0170279;0.0591057;0.0100787;0.174242;2284;1;48;
141;0.343119;0.00895094;0.0179019;0.059673;0.00199904;0.358038;0.805585;0.0297798;0.0927914;0.0289414;0.301348;2284;1;49;
142;0.191249;0.0302118;0.00166303;0.0582061;0.00169075;0.332607;0.859234;0.0275731;0.0972874;0.0119184;0.315976;2284;-1;-1;
143;0.325551;0.0108517;0.0159384;0.0474761;0.00189905;0.305204;0.813877;0.0338081;0.109195;0.0278075;0.349289;2284;1;14;
144;0.169081;0.0103864;0.00869559;0.0386471;0.00214974;0.338162;0.893714;0.0240614;0.0806758;0.0135265;0.222221;2284;1;28;
145;0.375059;0.00879044;0.0216831;0.0761838;0.00278364;0.263713;0.820441;0.0292839;0.0937647;0.0225621;0.316456;2284;-1;-1;
146;0.375059;0.00879044;0.0216831;0.0761838;0.00278364;0.263713;0.820441;0.0292839;0.0937647;0.0225621;0.316456;2284;-1;-1;
147;0.0799524;0.00451013;0.00287008;0.0276758;0.00102503;0.184505;0.973779;0.0102155;0.033006;0.0068677;0.0963528;2284;-1;-1;
148;0.38014;0.0207705;0.0235138;0.0783793;0.0015284;0.195948;0.744604;0.039027;0.129326;0.0337031;0.485952;2284;-1;-1;
149;0.1245;0.0112828;0.003735;0.043575;0.00129169;0.155625;0.964876;0.0155135;0.0521344;0.00871501;0.155625;2284;1;50;
150;0.113762;0.00790786;0.00360709;0.0305216;0.000832406;0.388456;0.901774;0.0138166;0.0457823;0.00596558;0.140122;2284;1;17;
151;0.176355;0.0166181;0.00180877;0.0542632;0.00208009;0.226097;0.926997;0.0225509;0.0732553;0.0160529;0.221575;2284;1;20;
152;0.0561876;0.00393313;0.00393313;0.0449501;0.000481608;0.208697;0.971243;0.00800593;0.0268095;0.00610037;0.0842814;2284;1;40;
153;0.164937;0.0118489;0.00303332;0.0379165;0.00191478;0.246457;0.928955;0.0188862;0.0595289;0.0108062;0.208541;2284;0;29;
154;0.182568;0.016341;0.00495865;0.0495865;0.00162283;0.247932;0.924112;0.0224649;0.0757321;0.0123966;0.205108;2284;0;20;
155;0.159791;0.0104397;0.00404805;0.0404805;0.00161922;0.213055;0.937443;0.0212139;0.0722257;0.011505;0.206664;2284;1;29;
156;0.121727;0.00530606;0.00577424;0.0312121;0.0012797;0.374545;0.905151;0.0155499;0.0521242;0.00920757;0.146697;2284;1;17;
157;0.098898;0.00708323;0.00347479;0.0267292;0.00134982;0.213833;0.962251;0.0133071;0.0420985;0.00761782;0.125627;2284;1;2;
158;0.408452;0.0366405;0.00240266;0.0900996;0.00342379;0.300332;0.600664;0.0597811;0.205427;0.0360398;0.570631;2284;1;38;
159;0.266859;0.0200145;0.00775754;0.0620603;0.0025755;0.248241;0.868845;0.0309728;0.101779;0.0186181;0.310302;2284;1;51;
160;0.108903;0.00608158;0.0035358;0.0367724;0.00103245;0.410153;0.891022;0.0140888;0.0476626;0.00820306;0.148504;2284;1;17;
161;0.102926;0.0068232;0.00578238;0.0231295;0.00389732;0.312248;0.936745;0.0115231;0.0351568;0.0186193;0.109865;2284;-1;-1;
162;0.047891;0.00442071;0.000368393;0.0147357;0.00049733;0.174986;0.97624;0.00914258;0.0326027;0.00571009;0.11236;2284;0;34;
163;0.153308;0.00728212;0.00114981;0.0344943;0.00149475;0.229962;0.93901;0.0190916;0.0645809;0.00996501;0.189718;2284;1;29;
164;0.136581;0.0059453;0.00321367;0.0449914;0.00144615;0.289231;0.931966;0.0160362;0.0536684;0.0112479;0.154256;2284;1;18;
165;0.205977;0.0251191;0.00226072;0.057774;0.00163274;0.175834;0.929407;0.02504;0.0833955;0.0138155;0.226072;2284;0;44;
166;0.170201;0.0148926;0;0.0449141;0.00229298;0.330946;0.898282;0.0235622;0.0796634;0.0137106;0.212751;2284;1;28;
167;0.139861;0.00997882;0.00581443;0.026715;0.00413296;0.0785734;0.97431;0.0156691;0.0471441;0.017129;0.146147;2284;-1;-1;
168;0.402004;0.0127301;0.0187602;0.0703507;0.00311553;0.201002;0.804008;0.0334752;0.105191;0.0237852;0.365154;2284;1;52;
169;0.0679671;0.0051196;0.00088269;0.0158884;0.000900344;0.247153;0.962132;0.0087885;0.0271868;0.00432518;0.0865036;2284;-1;-1;
170;0.473903;0.00663464;0.0139011;0.0695057;0.00236951;0.315935;0.758244;0.0315951;0.0969921;0.0265385;0.29066;2284;-1;-1;
171;0.473903;0.00663464;0.0139011;0.0695057;0.00236951;0.315935;0.758244;0.0315951;0.0969921;0.0265385;0.29066;2284;-1;-1;
172;0.269138;0.024333;0;0.0737364;0.00309693;0.221209;0.847968;0.0368055;0.133094;0.0353935;0.364995;2284;0;94;
173;0.129317;0.0123853;0.00127496;0.034606;0.00136602;0.291419;0.928897;0.0181563;0.0615622;0.0094711;0.17303;2284;1;18;
174;0.269138;0.024333;0;0.0737364;0.00309693;0.221209;0.847968;0.0368055;0.133094;0.0353935;0.364995;2284;0;94;
175;0.250657;0.00742687;0.0102119;0.0371343;0.00146216;0.371343;0.858731;0.0231741;0.0747328;0.018103;0.23209;2284;1;53;
176;0.178758;0.0151064;0;0.0453191;0.00186312;0.402836;0.856027;0.0251068;0.0873651;0.0176241;0.249255;2284;1;53;
177;0.413455;0.0130369;0.0178791;0.115469;0.00335234;0.186241;0.782212;0.0371961;0.118077;0.0197415;0.391106;2284;1;36;
178;0.088176;0.00887486;0.0048096;0.0217577;0.00105353;0.0916115;0.984823;0.0114045;0.0369881;0.00675635;0.108789;2284;1;31;
179;0.0661562;0.00471363;0.00190199;0.0264625;0.000603676;0.140582;0.984074;0.00824266;0.0269587;0.00471363;0.0769066;2284;1;9;
180;0.479787;0.017354;0.0188852;0.112291;0.00382809;0.255206;0.663536;0.0509391;0.164353;0.0316456;0.469579;2284;0;10;
181;0.112747;0.0118726;0;0.035874;0.00128121;0.204994;0.95664;0.0170282;0.0596192;0.0114455;0.157162;2284;0;83;
182;0.162224;0.00863789;0.0160117;0.0379224;0.0128726;0.168544;0.948061;0.0210006;0.0644682;0.0265457;0.198039;2284;-1;-1;
183;0.256895;0.00796375;0.0120741;0.0667927;0.00218361;0.359653;0.847754;0.0256805;0.0863168;0.0205516;0.26974;2284;1;53;
184;0.157585;0.00658265;0.00458791;0.0339106;0.00153595;0.359054;0.897634;0.0198726;0.065627;0.0129658;0.185511;2284;1;43;
185;0.101164;0.0140907;0.00057808;0.028904;0.00125732;0.173424;0.968284;0.0143891;0.0484142;0.0086712;0.135849;2284;0;23;
186;0.20624;0.0134056;0.000773402;0.0438261;0.0018046;0.257801;0.902302;0.0256705;0.0861054;0.0146946;0.257801;2284;1;25;
187;0.142013;0.00665126;0.00413457;0.0323575;0.00138418;0.413457;0.880843;0.0179099;0.0589625;0.0120442;0.16718;2284;-1;-1;
188;0.386381;0.0173099;0.0151461;0.0741851;0.00197827;0.154552;0.834582;0.0309074;0.0952042;0.0268921;0.336924;2284;-1;-1;
189;0.119626;0.0128487;0;0.0487365;0.00141779;0.383985;0.900887;0.0147723;0.0531671;0.0106334;0.144733;2284;1;17;
190;0.183845;0.00814503;0.0107049;0.0837774;0.00181518;0.349073;0.861046;0.0232087;0.0779596;0.0200135;0.297875;2284;-1;-1;
191;0.225208;0.0176249;0.00130555;0.0979164;0.00251319;0.228472;0.881247;0.0325964;0.120437;0.0297013;0.306805;2284;-1;-1;
